"id","eudractNumber","randomised","double_blind","therapeutic_area","condition_is_diabetes","subjects_exposed_total","nonserious_ae_count","deaths_total","mortality_percent","condition_text"
"2004-000022-75-ES","2004-000022-75",1,1,"Unknown",0,NA,NA,NA,NA,"Albuminuria in hypertensive subjects at increased cardiovascular risk."
"2004-000086-35-FI","2004-000086-35",1,0,"Unknown",1,NA,NA,NA,NA,"Type 1 diabetes"
"2004-000087-27-FI","2004-000087-27",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes"
"2004-000134-37-IT","2004-000134-37",1,1,"Diseases C - Blood and lymphatic diseases C15",0,NA,NA,NA,NA,"Treatment of anemia in subjects with chronic kidney disease CKD."
"2004-000156-16-ES","2004-000156-16",1,1,"Unknown",0,NA,NA,NA,NA,"Coronary Heart Disease"
"2004-000311-26-IT","2004-000311-26",1,NA,"Unknown",1,NA,NA,NA,NA,"Diabetes Mellitus"
"2004-000312-93-BE","2004-000312-93",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2004-000313-19-HU","2004-000313-19",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2004-000347-14-BE","2004-000347-14",1,1,"Unknown",1,NA,NA,NA,NA,"Men or women who are 18 years of age or older at the enrolment visit visit 1 diagnosed with type 2 diabetes and treated with diet alone or on treatment with a single oral anti diabetic agent or low doses of two agents."
"2004-000348-25-IT","2004-000348-25",1,1,"Unknown",0,NA,NA,NA,NA,"To prevent vascular disease associated with insulin resistence."
"2004-000349-40-IT","2004-000349-40",1,NA,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2004-000350-24-IT","2004-000350-24",1,1,"Unknown",1,NA,NA,NA,NA,"Tesaglitazar on glycemic control in subject with Type II Diabetes"
"2004-000354-22-ES","2004-000354-22",0,0,"Unknown",0,NA,NA,NA,NA,"Concurrent hypertension and dyslipidaemia Hipertension ICD code 80011/MedDRA: coded under preferred term vascular system disorder, code 10020772 Dyslipidaemia ICD code 89212/MedDRA: coded under preferred term metabolism and nutrition disosrder, code 10058108"
"2004-000376-14-IT","2004-000376-14",1,NA,"Unknown",1,NA,NA,NA,NA,"MONOTHERAPY TREATMENT OF PATIENTS WITH TYPE 2 DIABETES"
"2004-000488-83-ES","2004-000488-83",1,0,"Unknown",0,NA,NA,NA,NA,"Chronic Hepatitis C, Genotype 1"
"2004-000506-52-BE","2004-000506-52",1,1,"Unknown",1,NA,NA,NA,NA,"NIDDM non insulin dependent diabetes mellitus"
"2004-000514-38-IE","2004-000514-38",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2004-000539-27-ES","2004-000539-27",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2004-000540-24-ES","2004-000540-24",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2004-000542-20-ES","2004-000542-20",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2004-000551-42-ES","2004-000551-42",0,0,"Unknown",1,NA,NA,NA,NA,"Neuropata diabtica distal dolorosa Painful distal diabetic neuropathy"
"2004-000558-22-ES","2004-000558-22",0,0,"Unknown",0,107,796,0,0,"Chronic hepatitis C"
"2004-000577-65-FI","2004-000577-65",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes mellitus"
"2004-000616-70-BE","2004-000616-70",1,0,"Unknown",1,NA,NA,NA,NA,"Type 1 diabetes mellitus"
"2004-000820-34-PT","2004-000820-34",1,0,"Unknown",0,NA,NA,NA,NA,"Chronic Hepatitis C, Genotype 2 or 3"
"2004-000867-92-DE","2004-000867-92",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2004-000960-28-ES","2004-000960-28",0,NA,"Unknown",1,NA,NA,NA,NA,"Painful diabetic neuropathy"
"2004-001033-41-IT","2004-001033-41",1,NA,"Unknown",1,NA,NA,NA,NA,"Therapy of erectile disfunction to subjects with diabetes mellitus and erectile disfunction with a 2.5 mg or 5 mg daily dosing."
"2004-001062-40-ES","2004-001062-40",1,1,"Unknown",1,NA,NA,NA,NA,"Hypertension with diabetes mellitus"
"2004-001144-71-ES","2004-001144-71",1,1,"Diseases C - Cardiovascular Diseases C14",1,NA,NA,NA,NA,"Patients diagnosed with type 2 diabetes and treated with a single or multiple oral antidiabetic agents"
"2004-001220-20-ES","2004-001220-20",0,NA,"Unknown",0,NA,NA,NA,NA,"Chronic Hepatitis C, Genotype 1"
"2004-001252-36-ES","2004-001252-36",1,1,"Unknown",0,NA,NA,NA,NA,"ESSENTIAL HYPERTENSION"
"2004-001258-94-ES","2004-001258-94",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes mellitus"
"2004-001287-49-ES","2004-001287-49",1,0,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus type2"
"2004-001461-18-ES","2004-001461-18",1,NA,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2004-001546-32-FI","2004-001546-32",1,1,"Unknown",1,NA,NA,NA,NA,"Patients with type 2 diabetes"
"2004-001810-16-BE","2004-001810-16",1,0,"Diseases C - Cancer C04",0,908,1,158,17.4008810572687,"Gastrointestinal stromal tumors GIST are mesenchymal neoplasms usually arising from the gastrointestinal wall.  Pathologically,they present with spindle cells in most cases. Immunohistochemically, GIST cells are almost always positive for CD117.CD117 corresponds to the KIT receptor, a tyrosine kinase receptor which is altered in GIST due to a mutation to the c-kit oncogene.  This event is held to be critical for GIST pathogenesis."
"2004-001959-11-ES","2004-001959-11",1,1,"Unknown",0,NA,NA,NA,NA,"Coronary artery disease"
"2004-001979-18-ES","2004-001979-18",1,1,"Unknown",1,NA,NA,NA,NA,"Tratamiento de la Diabetes Mellitus Tipo 2"
"2004-002007-33-AT","2004-002007-33",1,1,"Unknown",0,NA,NA,NA,NA,"Alzheimer Disease"
"2004-002036-25-BE","2004-002036-25",1,0,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes mellitus"
"2004-002136-25-ES","2004-002136-25",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2004-002159-16-BE","2004-002159-16",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus"
"2004-002160-22-ES","2004-002160-22",1,1,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes Mellitus Chronic Renal Insufficiency MedDRA classification code:  10050441"
"2004-002236-26-IT","2004-002236-26",1,NA,"Unknown",0,NA,NA,NA,NA,"Primary Hypercholesterolemia"
"2004-002245-12-DE","2004-002245-12",1,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Uveal melanomas with specific hepatic tropism"
"2004-002267-24-ES","2004-002267-24",1,0,"Unknown",0,NA,NA,NA,NA,"Renal transplantation"
"2004-002466-38-CZ","2004-002466-38",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes mellitus"
"2004-002530-20-CZ","2004-002530-20",1,1,"Unknown",1,NA,NA,NA,NA,"Painful diabetic neuropathy"
"2004-002549-11-FI","2004-002549-11",0,0,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2004-002550-56-DE","2004-002550-56",1,1,"Unknown",1,NA,NA,NA,NA,"Men or women diagnosed with type 2 diabetes and treated with diet alone or on treatment with a single oral anti diabetic agent or low doses of two agents, and with diabetic dyslipidaemia ie low HDL-C."
"2004-002644-10-ES","2004-002644-10",1,1,"Unknown",1,NA,NA,NA,NA,"Diabetes Mellitus II"
"2004-002661-21-ES","2004-002661-21",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes"
"2004-002731-62-IT","2004-002731-62",1,0,"Unknown",1,NA,NA,NA,NA,"TYPE 2 DIABETES MELLITUS"
"2004-002757-31-SE","2004-002757-31",1,1,"Unknown",0,NA,NA,NA,NA,"Type 2 Dibetes"
"2004-002778-50-BE","2004-002778-50",1,NA,"Unknown",1,NA,NA,NA,NA,"Type 2 diabetes"
"2004-002940-82-IT","2004-002940-82",1,NA,"Unknown",1,NA,NA,NA,NA,"Type 2 Diabetes"
"2004-002974-48-BE","2004-002974-48",1,0,"Unknown",0,539,241,99,18.3673469387755,"TRANSPLANTATION, NOS"
"2004-003000-37-BE","2004-003000-37",1,1,"Unknown",1,NA,NA,NA,NA,"Hypercholesterolemia in patients with Type II Diabetes"
"2004-003840-22-FI","2004-003840-22",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2004-004090-29-ES","2004-004090-29",1,1,"Diseases C - Nutritional and Metabolic Diseases C18",1,NA,NA,NA,NA,"atherosclerosis in Type 2 Diabetes Mellitus patients with cardiovascular disease"
"2004-004094-28-DE","2004-004094-28",1,1,"Unknown",0,NA,NA,NA,NA,"healthy subjects without prior history of MI, stroke or arterial revascularization who, on initial screening, are found to have LDL.C levels below 130 mg/dL 3.36 mmol/L and CRP levels equal to or exceeding 2.0 mg/L"
"2004-004374-90-SE","2004-004374-90",1,1,"Unknown",1,NA,NA,NA,NA,"Men or women who are 18 years of age or more at enrolment visit 1. The patients should be drug-nave with Type 2 diabetes and not on anti-diabetic treatment during the recent 24 weeks."
"2004-004559-21-ES","2004-004559-21",1,1,"Unknown",1,NA,NA,NA,NA,"Type II Diabetes Mellitus"
"2004-004696-11-ES","2004-004696-11",0,NA,"Unknown",1,NA,NA,NA,NA,"Moderately severe or severe non-proliferative diabetic retinopathy NPDR or low risk proliferative diabetic retinopathy"
"2004-004794-28-ES","2004-004794-28",1,1,"Unknown",0,NA,NA,NA,NA,"Hypertension"
"2004-004881-34-DE","2004-004881-34",1,1,"Unknown",1,NA,NA,NA,NA,"Patients with Type 2 diabetes not treated by a pharmacological agent."
"2004-004918-17-ES","2004-004918-17",0,0,"Unknown",0,NA,NA,NA,NA,"Alzheimers disease"
