"_id","eudractNumber","e811_randomised","e814_double_blind","e112_therapeutic_area","e11_medical_conditions_being_investigated","adverseEvents.reportingGroups.reportingGroup.subjectsExposed","adverseEvents.nonSeriousAdverseEvents.nonSeriousAdverseEvent","adverseEvents.reportingGroups.reportingGroup.deathsAllCauses"
"2004-000022-75-ES","2004-000022-75",TRUE,TRUE,NA,"Albuminuria in hypertensive subjects at increased cardiovascular risk.",NA,NA,NA
"2004-000086-35-FI","2004-000086-35",TRUE,FALSE,NA,"Type 1 diabetes",NA,NA,NA
"2004-000087-27-FI","2004-000087-27",TRUE,FALSE,NA,"Type 2 diabetes",NA,NA,NA
"2004-000134-37-IT","2004-000134-37",TRUE,TRUE,"Diseases C - Blood and lymphatic diseases C15","Treatment of anemia in subjects with chronic kidney disease CKD.",NA,NA,NA
"2004-000156-16-ES","2004-000156-16",TRUE,TRUE,NA,"Coronary Heart Disease",NA,NA,NA
"2004-000311-26-IT","2004-000311-26",TRUE,NA,NA,"Diabetes Mellitus",NA,NA,NA
"2004-000312-93-BE","2004-000312-93",TRUE,TRUE,NA,"Type 2 Diabetes Mellitus",NA,NA,NA
"2004-000313-19-HU","2004-000313-19",TRUE,TRUE,NA,"Type 2 Diabetes Mellitus",NA,NA,NA
"2004-000347-14-BE","2004-000347-14",TRUE,TRUE,NA,"Men or women who are 18 years of age or older at the enrolment visit visit 1 diagnosed with type 2 diabetes and treated with diet alone or on treatment with a single oral anti diabetic agent or low doses of two agents.",NA,NA,NA
"2004-000348-25-IT","2004-000348-25",TRUE,TRUE,NA,"To prevent vascular disease associated with insulin resistence.",NA,NA,NA
"2004-000349-40-IT","2004-000349-40",TRUE,NA,NA,"Type 2 Diabetes Mellitus",NA,NA,NA
"2004-000350-24-IT","2004-000350-24",TRUE,TRUE,NA,"Tesaglitazar on glycemic control in subject with Type II Diabetes",NA,NA,NA
"2004-000354-22-ES","2004-000354-22",FALSE,FALSE,NA,"Concurrent hypertension and dyslipidaemia Hipertension ICD code 80011/MedDRA: coded under preferred term vascular system disorder, code 10020772 Dyslipidaemia ICD code 89212/MedDRA: coded under preferred term metabolism and nutrition disosrder, code 10058108",NA,NA,NA
"2004-000376-14-IT","2004-000376-14",TRUE,NA,NA,"MONOTHERAPY TREATMENT OF PATIENTS WITH TYPE 2 DIABETES",NA,NA,NA
