"id","eudractNumber","predicted_deaths"
"2007-001826-28-GB","2007-001826-28",55.6344361122816
"2007-002997-72-ES","2007-002997-72",277.284327254067
"2007-005182-35-BE","2007-005182-35",3702.48138436329
"2008-005713-22-ES","2008-005713-22",572.923481569118
"2008-006801-17-BE","2008-006801-17",176.134911053506
"2009-015476-98-BE","2009-015476-98",227.627305196305
"2009-017905-13-BE","2009-017905-13",269.746442590356
"2010-019577-16-BE","2010-019577-16",141.807994203376
"2010-022902-41-BE","2010-022902-41",1196.03845224729
"2010-024238-46-DE","2010-024238-46",39.1015775740772
"2011-000509-29-BE","2011-000509-29",264.154658187051
"2011-001965-42-ES","2011-001965-42",202.012647621211
"2011-004714-41-DE","2011-004714-41",510.8034004206
"2011-005328-17-ES","2011-005328-17",719.880052328839
"2011-005334-20-BE","2011-005334-20",608.293750172012
"2012-000660-22-BE","2012-000660-22",157.420252889298
"2012-001628-37-BE","2012-001628-37",297.696846474406
"2012-002018-37-BE","2012-002018-37",581.444185857963
"2012-003442-32-FR","2012-003442-32",128.413323005659
"2012-003554-83-BE","2012-003554-83",189.91884771409
"2012-004492-38-BE","2012-004492-38",237.527153254674
"2012-004879-38-BE","2012-004879-38",172.212655700779
"2012-004902-82-BE","2012-004902-82",785.575873286179
"2013-000123-13-BE","2013-000123-13",13.6148335788883
"2013-000829-31-NL","2013-000829-31",17.4574637519686
"2013-001161-16-IT","2013-001161-16",30.6469069325311
"2013-001352-34-ES","2013-001352-34",171.824709785963
"2013-004525-84-ES","2013-004525-84",132.90656618848
"2013-004679-11-IT","2013-004679-11",54.3876864246927
"2014-000619-14-DE","2014-000619-14",393.066439278598
"2014-001458-40-BE","2014-001458-40",69.8311282252205
"2015-000380-13-BE","2015-000380-13",241.170254697544
"2016-001432-35-BE","2016-001432-35",221.278617417464
"2016-002453-38-BE","2016-002453-38",64.8541655017243
"2016-003984-20-DE","2016-003984-20",178.207155526991
"2017-001994-18-BE","2017-001994-18",165.43630431031
"2017-004897-32-BE","2017-004897-32",194.451361854844
"2018-000221-31-BE","2018-000221-31",233.696792444458
"2018-000222-61-BE","2018-000222-61",202.162906398814
"2018-000236-97-HU","2018-000236-97",81.060420418063
"2018-001881-40-ES","2018-001881-40",108.898227742386
"2018-003069-33-BE","2018-003069-33",212.578843977432
"2019-004699-21-DE","2019-004699-21",31.3192415335796
"2020-002818-41-DE","2020-002818-41",23.0056957244003
"2020-004035-24-BE","2020-004035-24",26.6316061756969
