"id","eudractNumber","randomised","double_blind","therapeutic_area","condition_is_diabetes","subjects_exposed_total","nonserious_ae_count","deaths_total","mortality_percent","condition_text"
"2005-000137-37-CZ","2005-000137-37",1,1,"Unknown",0,NA,NA,NA,NA,"Moderately emetogenic chemotherapy induced nausea and vomiting"
"2005-003976-39-DE","2005-003976-39",0,0,"Unknown",0,NA,NA,NA,NA,"Patients with essential hypertension"
"2005-005697-71-BE","2005-005697-71",1,0,"Diseases C - Blood and lymphatic diseases C15",0,72,95,1,1.38888888888889,"Subjects with Severe or Moderately Severe Hemophilia A baseline factor VIII FVIII level  2 of normal hemophilia A undergoing major orthopedic surgery"
"2006-001434-41-BE","2006-001434-41",1,0,"Unknown",0,NA,NA,NA,NA,"Chronic renal anemia"
"2006-001955-37-ES","2006-001955-37",1,1,"Unknown",0,NA,NA,NA,NA,"Chronic Obstructive Pulmonary Disease COPD"
"2006-002529-21-ES","2006-002529-21",0,0,"Unknown",0,NA,NA,NA,NA,"Pacientes con cncer de mama metastsico CMm o localmente recurrente LR HER2 negativo que no han recibido quimioterapia previa para el CMm o LC. Locally recurrent or metastatic breast cancer."
"2006-004514-40-GB","2006-004514-40",1,1,"Unknown",0,NA,NA,NA,NA,"Pain"
"2006-005047-28-DE","2006-005047-28",1,1,"Unknown",1,NA,NA,NA,NA,"The current study will support an indication for rivoglitazone as oral monotherapy to improve glycemic control in subjects with type 2 diabetes mellitus not adequately controlled with diet and exercise alone."
"2006-005455-15-ES","2006-005455-15",1,1,"Unknown",0,132,2,0,0,"Sindrome Muckle-Wells  Enfermedad Autoinflamatoria"
"2006-005911-82-DE","2006-005911-82",1,1,"Diseases C - Respiratory Tract Diseases C08",0,593,35,0,0,"IgE-mediated allergic disease manifested as symptoms of allergic rhinitis/rhinoconjunctivitis with or without allergic bronchial asthma GINA I und II triggered by grass pollen allergens."
"2007-000636-13-DE","2007-000636-13",1,1,"Unknown",0,NA,NA,NA,NA,"Erythropoietic Protoporphyria EPP"
"2007-002997-72-ES","2007-002997-72",1,1,"Unknown",0,854,309,513,60.0702576112412,"Cncer de mama metastsico HER2 positivo HER2 positive metastatic breast cancer"
"2007-005182-35-BE","2007-005182-35",1,0,"Unknown",0,6944,548,148,2.13133640552995,"Resected node-positive or high risk node-negative, invasive HER2-positive breast cancer."
"2007-007861-19-PL","2007-007861-19",1,0,"Unknown",0,NA,NA,NA,NA,"This study looks into the therapy of major bleeding resulting from an acquired deficiency of vitamin K-dependant coagulation factors and proteins C and S due to use of oral anticoagulation therapy."
"2008-000533-22-BE","2008-000533-22",1,1,"Unknown",0,NA,NA,NA,NA,"Chronic genotype 1 Hepatitis C infection"
"2008-002758-39-DE","2008-002758-39",1,1,"Unknown",0,NA,NA,NA,NA,"Alzheimers Disease"
"2008-005149-48-FI","2008-005149-48",1,1,"Diseases C - Bacterial Infections and Mycoses C01",0,41181,NA,12,0.0291396517811612,"Active immunization of children from the age of 6 weeks up to 18 months of age at the time of first vaccination, against Streptococcus pneumoniae serotypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, 23F and Haemophilus influenzae. The immunization schedule will depend on the age at the time of the first vaccination."
"2008-005713-22-ES","2008-005713-22",1,0,"Unknown",0,1114,118,637,57.181328545781,"Tratamiento de pacientes con cncer de mama HER-2 positivo localmente avanzado o metastsico que hayan recibido un taxano y trastuzumab tras progresin de la enfermedad."
"2008-006551-51-FI","2008-006551-51",1,1,"Diseases C - Bacterial Infections and Mycoses C01",0,6177,435,1,0.0161890885543144,"Active immunization of children from the age of 6 weeks up to 18 months of age at the time of first vaccination, against Streptococcus pneumoniae serotypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, 23F and Haemophilus influenzae. The immunization schedule will depend on the age at the time of the first vaccination."
"2008-006801-17-BE","2008-006801-17",1,0,"Diseases C - Cancer C04",0,446,285,270,60.5381165919283,"HER2 positive metastatic breast cancer which has progressed after one line of trastuzumab-based therapy in the metastatic setting"
"2008-007926-21-ES","2008-007926-21",1,1,"Unknown",0,NA,NA,NA,NA,"Alzheimers Disease Enfermedad de Alzheimer"
"2009-012203-26-BE","2009-012203-26",1,1,"Diseases C - Respiratory Tract Diseases C08",0,NA,NA,NA,NA,"Survival of extremely Low Birth Weight ELBW infants has improved in recent decades but Bronchopulmonary Dysplasia BPD remains a major health care problem. BPD is a chronic lung disease that occurs in premature infants requiring mechanical ventilation and oxygen therapy, but also develops in preterm neonates who require little or no ventilatory or oxygen support"
"2009-013864-37-HU","2009-013864-37",1,1,"Unknown",0,NA,NA,NA,NA,"acute soft tissue injury minor traumatism such as: sprain, strain, dislocation,...etc. or contusion"
"2009-015476-98-BE","2009-015476-98",1,0,"Diseases C - Cancer C04",0,581,190,349,60.0688468158348,"patients with metastatic HER2 over-expressing breast cancer"
"2009-017905-13-BE","2009-017905-13",1,1,"Diseases C - Cancer C04",0,1080,497,514,47.5925925925926,"First line treatment in HER2 positive progressive or recurrent locally advanced or metastatic breast cancer MBC"
"2009-018161-12-BE","2009-018161-12",1,1,"Diseases C - Nervous System Diseases C10",0,841,71,0,0,"Attention-Deficit/Hyperactive Disorder ADHD"
"2010-018579-12-ES","2010-018579-12",1,1,"Unknown",0,337,58,0,0,"Attention-Deficit/Hyperactivity Disorder ADHD Trastorno por dficit de atencin con hiperactividad"
"2010-019577-16-BE","2010-019577-16",1,0,"Diseases C - Cancer C04",0,367,25,18,4.90463215258856,"HER2-positive metastatic breast cancer who have received trastuzumab and endocrine therapy in the neoadjuvant and/or adjuvant setting"
"2010-021715-17-BE","2010-021715-17",1,1,"Diseases C - Virus Diseases C02",0,677,106,7,1.03397341211226,"Chronic hepatitis C infection genotype 1"
"2010-022902-41-BE","2010-022902-41",1,1,"Diseases C - Cancer C04",0,4769,546,450,9.43594044873139,"Patients with operable HER2-positive primary breast cancer"
"2010-024238-46-DE","2010-024238-46",1,0,"Diseases C - Cancer C04",0,101,48,73,72.2772277227723,"Patients with initially HER2-negative metastatic breast cancer and HER2-positive circulating tumor cells"
"2011-000509-29-BE","2011-000509-29",1,0,"Diseases C - Cancer C04",0,681,71,369,54.1850220264317,"HER2-Positive Metastatic Breast Cancer MBC"
"2011-000739-97-AT","2011-000739-97",1,0,"Diseases C - Cancer C04",0,NA,NA,NA,NA,"Homeopathic remedies as add on therapie in cancer"
"2011-001180-53-BE","2011-001180-53",1,1,"Diseases C - Virus Diseases C02",0,763,287,4,0.524246395806029,"Hepatitis C Virus HCV genotype-1 infection"
"2011-001965-42-ES","2011-001965-42",1,1,"Diseases C - Cancer C04",0,836,103,10,1.19617224880383,"Human Epidermal Growth Factor Receptor 2 positive HER2+ metastatic breast cancer MBC"
"2011-004724-35-BE","2011-004724-35",0,0,"Diseases C - Virus Diseases C02",0,74,37,0,0,"Chronic hepatitis C infection"
"2011-005328-17-ES","2011-005328-17",0,0,"Diseases C - Cancer C04",0,5142,513,177,3.44224037339557,"HER2-positive primary breast cancer"
"2011-005334-20-BE","2011-005334-20",0,0,"Diseases C - Cancer C04",0,1436,13706,658,45.8217270194986,"Advanced breast cancer metastatic or locally recurrent"
"2011-005422-21-ES","2011-005422-21",NA,NA,"Diseases C - Virus Diseases C02",0,398,165,0,0,"Chronic Hepatitis C Virus Infection Genotypes 1 and 4"
"2011-005446-35-ES","2011-005446-35",1,1,"Diseases C - Virus Diseases C02",0,645,34,0,0,"HEPATITIS C VIRUS"
"2011-005740-95-BE","2011-005740-95",0,0,"Diseases C - Virus Diseases C02",0,186,10,0,0,"Chronic Hepatitis C Infection"
"2012-000171-17-DE","2012-000171-17",0,0,"Diseases C - Nutritional and Metabolic Diseases C18",0,125,1,0,0,"Treatment of Hyperphosphataemia."
"2012-001628-37-BE","2012-001628-37",0,0,"Diseases C - Cancer C04",0,2183,200,1149,52.6339899221255,"HER2-positive metastatic breast cancer"
"2012-002018-37-BE","2012-002018-37",1,0,"Diseases C - Cancer C04",0,1460,385,220,15.0684931506849,"HER2-positive primary breast cancer."
"2012-003442-32-FR","2012-003442-32",1,0,"Diseases C - Cancer C04",0,332,37,2,0.602409638554217,"HER2-positive metastatic breast cancer"
"2012-003738-18-PL","2012-003738-18",1,0,"Diseases C - Virus Diseases C02",0,148,17,1,0.675675675675676,"Chronic Hepatitis C Infection"
"2012-004492-38-BE","2012-004492-38",1,0,"Diseases C - Cancer C04",0,614,39,456,74.2671009771987,"HER2+ Metastatic Breast Cancer"
"2012-004902-82-BE","2012-004902-82",1,0,"Diseases C - Cancer C04",0,1838,1227,100,5.44069640914037,"HER2-positive operable primary breast cancer."
