"_id","eudractNumber","e811_randomised","e814_double_blind","e112_therapeutic_area","e11_medical_conditions_being_investigated","adverseEvents.reportingGroups.reportingGroup.subjectsExposed","adverseEvents.nonSeriousAdverseEvents.nonSeriousAdverseEvent","adverseEvents.reportingGroups.reportingGroup.deathsAllCauses"
"2014-000619-14-DE","2014-000619-14",TRUE,FALSE,"Diseases C - Cancer C04","Patients with primary breast cancer","470 / 475",903,"0 / 2"
"2011-005328-17-ES","2011-005328-17",FALSE,FALSE,"Diseases C - Cancer C04","HER2-positive primary breast cancer","1864 / 1862 / 707 / 709",513,"28 / 98 / 45 / 6"
"2011-005189-39-ES",NA,TRUE,FALSE,"Diseases C - Cancer C04","HER 2 - positive metastatic breast cancer",NA,NA,NA
"2011-004714-41-DE","2011-004714-41",TRUE,FALSE,"Diseases C - Cancer C04","Patients with primary breast cancer","605 / 601",1119,"4 / 1"
"2007-002997-72-ES","2007-002997-72",TRUE,TRUE,NA,"Cncer de mama metastsico HER2 positivo HER2 positive metastatic breast cancer","396 / 408 / 50",309,"261 / 238 / 14"
"2018-001881-40-ES","2018-001881-40",TRUE,TRUE,"Diseases C - Cancer C04","Early Human epidermal growth factor receptor 2 HER2-positive breast cancer","226 / 225",94,"11 / 13"
"2007-002016-26-FI",NA,TRUE,FALSE,NA,"Invasive early breast cancer that has been removed by surgery.",NA,NA,NA
"2018-003069-33-BE","2018-003069-33",TRUE,FALSE,"Diseases C - Cancer C04","Unresectable and/or metastatic breast cancer that is human epidermal growth factor receptor 2 HER2-low","371 / 172",181,"149 / 90"
"2017-001994-18-BE","2017-001994-18",TRUE,FALSE,"Diseases C - Cancer C04","breast tumours","288 / 137",113,"181 / 94"
"2014-002249-22-DE",NA,TRUE,FALSE,"Diseases C - Cancer C04","Patients with HER2-positive and hormone-receptor positive metastatic breast cancer",NA,NA,NA
"2013-000123-13-BE","2013-000123-13",FALSE,FALSE,"Diseases C - Cancer C04","TO INVESTIGATE THE AT HOME ADMINISTRTATION  OF TRASTUZUMAB SUBCUTANEOUS VIAL FOR THE TREATMENT OF PATIENTS WITH HER2-POSITIVE EARLY BREAST CANCER.","101",62,"2"
"2013-000829-31-NL","2013-000829-31",FALSE,FALSE,"Diseases C - Cancer C04","HER2-positive early breast cancer","125",484,"2"
"2013-001161-16-IT","2013-001161-16",FALSE,FALSE,"Diseases C - Cancer C04","EARLY AND LOCALLY ADVANCED HER2-POSITIVE BREAST CANCER","95 / 20 / 92 / 21",28,"5 / 1 / 0 / 1"
"2008-005713-22-ES","2008-005713-22",TRUE,FALSE,NA,"Tratamiento de pacientes con cncer de mama HER-2 positivo localmente avanzado o metastsico que hayan recibido un taxano y trastuzumab tras progresin de la enfermedad.","490 / 488 / 136",118,"305 / 277 / 55"
"2019-004699-21-DE","2019-004699-21",TRUE,FALSE,"Diseases C - Cancer C04","Metastatic or Locally Advanced, Treatment-nave, HER2-Positive Gastric or Gastroesophageal Junction Cancer","8 / 9 / 6 / 10 / 48",33,"1 / 1 / 1 / 2 / 25"
"2013-001352-34-ES","2013-001352-34",TRUE,TRUE,"Diseases C - Cancer C04","Metastatic Breast Cancer","349 / 353",256,"52 / 60"
"2010-019577-16-BE","2010-019577-16",TRUE,FALSE,"Diseases C - Cancer C04","HER2-positive metastatic breast cancer who have received trastuzumab and endocrine therapy in the neoadjuvant and/or adjuvant setting","123 / 121 / 123",25,"5 / 5 / 8"
"2013-004525-84-ES","2013-004525-84",TRUE,TRUE,"Diseases C - Cancer C04","Her-2 Positive Early Breast Cancer","271 / 278",125,"18 / 18"
"2016-002453-38-BE","2016-002453-38",TRUE,FALSE,"Diseases C - Cancer C04","Metastatic breast cancer with stable brain metastases","90 / 77",85,"60 / 57"
"2009-017905-13-BE","2009-017905-13",TRUE,TRUE,"Diseases C - Cancer C04","First line treatment in HER2 positive progressive or recurrent locally advanced or metastatic breast cancer MBC","361 / 353 / 366",497,"174 / 170 / 170"
"2020-002818-41-DE","2020-002818-41",TRUE,TRUE,"Diseases C - Cancer C04","Locally advanced / metastatic breast cancer","47 / 49",4,"6 / 3"
"2009-015476-98-BE","2009-015476-98",TRUE,FALSE,"Diseases C - Cancer C04","patients with metastatic HER2 over-expressing breast cancer","337 / 169 / 75",190,"235 / 111 / 3"
"2018-000222-61-BE","2018-000222-61",TRUE,FALSE,"Diseases C - Cancer C04","Unresectable/metastatic breast cancer with human epidermal growth factor receptor 2 HER2-positive expression","257 / 261",144,"72 / 97"
"2012-002018-37-BE","2012-002018-37",TRUE,FALSE,"Diseases C - Cancer C04","HER2-positive primary breast cancer.","720 / 740",385,"126 / 94"
"2007-005182-35-BE","2007-005182-35",TRUE,FALSE,NA,"Resected node-positive or high risk node-negative, invasive HER2-positive breast cancer.","289 / 286 / 1461 / 1436 / 1750 / 1722",548,"10 / 15 / 49 / 46 / 14 / 14"
"2021-000398-10-BE","2021-000398-10",TRUE,TRUE,"Diseases C - Cancer C04","Breast cancer",NA,NA,NA
"2012-000660-22-BE","2012-000660-22",TRUE,FALSE,"Diseases C - Cancer C04","Human Epidermal growth factor Receptor 2 HER2 positive locally advanced or metastatic Gastric Cancer GC, including adenocarcinoma of the gastroesophageal junction GEJ.","111 / 224 / 69",125,"87 / 185 / 61"
"2010-024238-46-DE","2010-024238-46",TRUE,FALSE,"Diseases C - Cancer C04","Patients with initially HER2-negative metastatic breast cancer and HER2-positive circulating tumor cells","48 / 53",48,"40 / 33"
"2017-004897-32-BE","2017-004897-32",TRUE,FALSE,"Diseases C - Cancer C04","Human epidermal growth factor receptor 2 HER2-positive Early Breast Cancer.","248 / 252",102,"14 / 12"
"2012-003554-83-BE","2012-003554-83",TRUE,TRUE,"Diseases C - Cancer C04","HER2-positive advanced gastroesophageal junction/gastric cancer","385 / 388",301,"299 / 318"
"2011-000509-29-BE","2011-000509-29",TRUE,FALSE,"Diseases C - Cancer C04","HER2-Positive Metastatic Breast Cancer MBC","403 / 184 / 94",71,"247 / 67 / 55"
"2020-005048-46-BE",NA,FALSE,FALSE,"Diseases C - Cancer C04","Treatment of patients with HER2-positive breast cancer with or without brain metastasis",NA,NA,NA
"2010-022902-41-BE","2010-022902-41",TRUE,TRUE,"Diseases C - Cancer C04","Patients with operable HER2-positive primary breast cancer","2405 / 2364",546,"253 / 197"
"2011-001965-42-ES","2011-001965-42",TRUE,TRUE,"Diseases C - Cancer C04","Human Epidermal Growth Factor Receptor 2 positive HER2+ metastatic breast cancer MBC","246 / 247 / 164 / 179",103,"4 / 4 / 0 / 2"
"2018-000236-97-HU","2018-000236-97",TRUE,TRUE,"Diseases C - Cancer C04","HER-2 positive breast cancer","175 / 82 / 81",13,"0 / 0 / 1"
"2016-001432-35-BE","2016-001432-35",TRUE,TRUE,"Diseases C - Cancer C04","Triple-Negative Breast Cancer","13 / 10 / 281 / 562 / 12 / 11",456,"11 / 9 / 249 / 480 / 5 / 9"
"2019-002741-37-BE",NA,TRUE,TRUE,"Diseases C - Cancer C04","HER2-positive advanced breast cancer",NA,NA,NA
"2012-004902-82-BE","2012-004902-82",TRUE,FALSE,"Diseases C - Cancer C04","HER2-positive operable primary breast cancer.","912 / 926",1227,"55 / 45"
"2012-004492-38-BE","2012-004492-38",TRUE,FALSE,"Diseases C - Cancer C04","HER2+ Metastatic Breast Cancer","303 / 311",39,"216 / 240"
"2008-006801-17-BE","2008-006801-17",TRUE,FALSE,"Diseases C - Cancer C04","HER2 positive metastatic breast cancer which has progressed after one line of trastuzumab-based therapy in the metastatic setting","218 / 228",285,"136 / 134"
"2012-003442-32-FR","2012-003442-32",TRUE,FALSE,"Diseases C - Cancer C04","HER2-positive metastatic breast cancer","108 / 113 / 111",37,"1 / 1 / 0"
"2007-001826-28-GB","2007-001826-28",TRUE,TRUE,"Diseases C - Cancer C04","The medical condition being investigated in this trial is locally advanced or metastatic urological cancer. The tumour must overexpress HER1 and/or HER2 gene.","116 / 116",12,"42 / 42"
"2012-004879-38-BE","2012-004879-38",TRUE,FALSE,"Diseases C - Cancer C04","HER2-positive, operable, locally advanced or inflammatory early breast cancer.","219 / 223",124,"5 / 6"
"2006-001707-11-NL",NA,TRUE,TRUE,NA,"WHO: 0-2 Serum creatinine 140 umol/l Thyroid stimulating hormone between 0.5-3.9 MU/l. Blood pressure systolic  140 mmHg diastolic  90 mmHg is acceptable at randomization. LVEF  50  assessed by multigated angiography MUGA or cardiac ultrasound",NA,NA,NA
