"id","eudractNumber","randomised","double_blind","therapeutic_area","condition_is_diabetes","subjects_exposed_total","nonserious_ae_count","deaths_total","mortality_percent","condition_text"
"2006-002529-21-ES","2006-002529-21",0,0,"Unknown",0,NA,NA,NA,NA,"Pacientes con cncer de mama metastsico CMm o localmente recurrente LR HER2 negativo que no han recibido quimioterapia previa para el CMm o LC. Locally recurrent or metastatic breast cancer."
"2007-001826-28-GB","2007-001826-28",1,1,"Diseases C - Cancer C04",0,232,12,84,36.2068965517241,"The medical condition being investigated in this trial is locally advanced or metastatic urological cancer. The tumour must overexpress HER1 and/or HER2 gene."
"2007-002997-72-ES","2007-002997-72",1,1,"Unknown",0,854,309,513,60.0702576112412,"Cncer de mama metastsico HER2 positivo HER2 positive metastatic breast cancer"
"2007-005182-35-BE","2007-005182-35",1,0,"Unknown",0,6944,548,148,2.13133640552995,"Resected node-positive or high risk node-negative, invasive HER2-positive breast cancer."
"2008-005713-22-ES","2008-005713-22",1,0,"Unknown",0,1114,118,637,57.181328545781,"Tratamiento de pacientes con cncer de mama HER-2 positivo localmente avanzado o metastsico que hayan recibido un taxano y trastuzumab tras progresin de la enfermedad."
"2008-006801-17-BE","2008-006801-17",1,0,"Diseases C - Cancer C04",0,446,285,270,60.5381165919283,"HER2 positive metastatic breast cancer which has progressed after one line of trastuzumab-based therapy in the metastatic setting"
"2009-015476-98-BE","2009-015476-98",1,0,"Diseases C - Cancer C04",0,581,190,349,60.0688468158348,"patients with metastatic HER2 over-expressing breast cancer"
"2009-017905-13-BE","2009-017905-13",1,1,"Diseases C - Cancer C04",0,1080,497,514,47.5925925925926,"First line treatment in HER2 positive progressive or recurrent locally advanced or metastatic breast cancer MBC"
"2010-019577-16-BE","2010-019577-16",1,0,"Diseases C - Cancer C04",0,367,25,18,4.90463215258856,"HER2-positive metastatic breast cancer who have received trastuzumab and endocrine therapy in the neoadjuvant and/or adjuvant setting"
"2010-022902-41-BE","2010-022902-41",1,1,"Diseases C - Cancer C04",0,4769,546,450,9.43594044873139,"Patients with operable HER2-positive primary breast cancer"
"2010-024238-46-DE","2010-024238-46",1,0,"Diseases C - Cancer C04",0,101,48,73,72.2772277227723,"Patients with initially HER2-negative metastatic breast cancer and HER2-positive circulating tumor cells"
"2011-000509-29-BE","2011-000509-29",1,0,"Diseases C - Cancer C04",0,681,71,369,54.1850220264317,"HER2-Positive Metastatic Breast Cancer MBC"
"2011-001965-42-ES","2011-001965-42",1,1,"Diseases C - Cancer C04",0,836,103,10,1.19617224880383,"Human Epidermal Growth Factor Receptor 2 positive HER2+ metastatic breast cancer MBC"
"2011-004714-41-DE","2011-004714-41",1,0,"Diseases C - Cancer C04",0,1206,1119,5,0.414593698175788,"Patients with primary breast cancer"
"2011-005328-17-ES","2011-005328-17",0,0,"Diseases C - Cancer C04",0,5142,513,177,3.44224037339557,"HER2-positive primary breast cancer"
"2011-005334-20-BE","2011-005334-20",0,0,"Diseases C - Cancer C04",0,1436,13706,658,45.8217270194986,"Advanced breast cancer metastatic or locally recurrent"
"2012-000660-22-BE","2012-000660-22",1,0,"Diseases C - Cancer C04",0,404,125,333,82.4257425742574,"Human Epidermal growth factor Receptor 2 HER2 positive locally advanced or metastatic Gastric Cancer GC, including adenocarcinoma of the gastroesophageal junction GEJ."
"2012-001628-37-BE","2012-001628-37",0,0,"Diseases C - Cancer C04",0,2183,200,1149,52.6339899221255,"HER2-positive metastatic breast cancer"
"2012-002018-37-BE","2012-002018-37",1,0,"Diseases C - Cancer C04",0,1460,385,220,15.0684931506849,"HER2-positive primary breast cancer."
"2012-003442-32-FR","2012-003442-32",1,0,"Diseases C - Cancer C04",0,332,37,2,0.602409638554217,"HER2-positive metastatic breast cancer"
"2012-003554-83-BE","2012-003554-83",1,1,"Diseases C - Cancer C04",0,773,301,617,79.8188874514877,"HER2-positive advanced gastroesophageal junction/gastric cancer"
"2012-004492-38-BE","2012-004492-38",1,0,"Diseases C - Cancer C04",0,614,39,456,74.2671009771987,"HER2+ Metastatic Breast Cancer"
